shell command : training/exp_runner.py --conf ./confs/dnerf_transformers_spring_Gaus.conf --scan_id -1
Loading data ...
find cameras.npz, assuming DTU dataset!
Finish loading data. Data-set size: 20
pretraining sdf...
(sdf)dnerf_bun_2024_12_21_21_58_42 [2] (0/20): loss = 0.22, rgb_loss = 0.22, eikonal_loss = 0.04, psnr = 12.43
(sdf)dnerf_bun_2024_12_21_21_58_42 [2] (1/20): loss = 0.21, rgb_loss = 0.2, eikonal_loss = 0.04, psnr = 12.37
(sdf)dnerf_bun_2024_12_21_21_58_42 [2] (2/20): loss = 0.2, rgb_loss = 0.19, eikonal_loss = 0.06, psnr = 13.29
(sdf)dnerf_bun_2024_12_21_21_58_42 [2] (3/20): loss = 0.22, rgb_loss = 0.21, eikonal_loss = 0.05, psnr = 12.49
(sdf)dnerf_bun_2024_12_21_21_58_42 [2] (4/20): loss = 0.2, rgb_loss = 0.2, eikonal_loss = 0.05, psnr = 12.54
(sdf)dnerf_bun_2024_12_21_21_58_42 [2] (5/20): loss = 0.21, rgb_loss = 0.21, eikonal_loss = 0.05, psnr = 12.54
(sdf)dnerf_bun_2024_12_21_21_58_42 [2] (6/20): loss = 0.2, rgb_loss = 0.2, eikonal_loss = 0.05, psnr = 12.86
(sdf)dnerf_bun_2024_12_21_21_58_42 [2] (7/20): loss = 0.19, rgb_loss = 0.18, eikonal_loss = 0.07, psnr = 13.63
(sdf)dnerf_bun_2024_12_21_21_58_42 [2] (8/20): loss = 0.18, rgb_loss = 0.18, eikonal_loss = 0.06, psnr = 13.72
(sdf)dnerf_bun_2024_12_21_21_58_42 [2] (9/20): loss = 0.19, rgb_loss = 0.19, eikonal_loss = 0.06, psnr = 13.31
(sdf)dnerf_bun_2024_12_21_21_58_42 [2] (10/20): loss = 0.22, rgb_loss = 0.21, eikonal_loss = 0.05, psnr = 12.57
(sdf)dnerf_bun_2024_12_21_21_58_42 [2] (11/20): loss = 0.21, rgb_loss = 0.21, eikonal_loss = 0.05, psnr = 12.71
(sdf)dnerf_bun_2024_12_21_21_58_42 [2] (12/20): loss = 0.24, rgb_loss = 0.23, eikonal_loss = 0.07, psnr = 10.57
(sdf)dnerf_bun_2024_12_21_21_58_42 [2] (13/20): loss = 0.21, rgb_loss = 0.21, eikonal_loss = 0.05, psnr = 12.43
(sdf)dnerf_bun_2024_12_21_21_58_42 [2] (14/20): loss = 0.19, rgb_loss = 0.18, eikonal_loss = 0.06, psnr = 13.62
(sdf)dnerf_bun_2024_12_21_21_58_42 [2] (15/20): loss = 0.18, rgb_loss = 0.18, eikonal_loss = 0.06, psnr = 13.73
(sdf)dnerf_bun_2024_12_21_21_58_42 [2] (16/20): loss = 0.22, rgb_loss = 0.21, eikonal_loss = 0.05, psnr = 12.25
(sdf)dnerf_bun_2024_12_21_21_58_42 [2] (17/20): loss = 0.24, rgb_loss = 0.23, eikonal_loss = 0.06, psnr = 11.72
(sdf)dnerf_bun_2024_12_21_21_58_42 [2] (18/20): loss = 0.23, rgb_loss = 0.22, eikonal_loss = 0.05, psnr = 12.13
(sdf)dnerf_bun_2024_12_21_21_58_42 [2] (19/20): loss = 0.22, rgb_loss = 0.22, eikonal_loss = 0.05, psnr = 12.26
(sdf)dnerf_bun_2024_12_21_21_58_42 [3] (0/20): loss = 0.22, rgb_loss = 0.21, eikonal_loss = 0.04, psnr = 12.47
(sdf)dnerf_bun_2024_12_21_21_58_42 [3] (1/20): loss = 0.22, rgb_loss = 0.21, eikonal_loss = 0.05, psnr = 12.37
(sdf)dnerf_bun_2024_12_21_21_58_42 [3] (2/20): loss = 0.21, rgb_loss = 0.21, eikonal_loss = 0.05, psnr = 12.42
(sdf)dnerf_bun_2024_12_21_21_58_42 [3] (3/20): loss = 0.22, rgb_loss = 0.21, eikonal_loss = 0.06, psnr = 12.35
(sdf)dnerf_bun_2024_12_21_21_58_42 [3] (4/20): loss = 0.22, rgb_loss = 0.21, eikonal_loss = 0.06, psnr = 12.11
(sdf)dnerf_bun_2024_12_21_21_58_42 [3] (5/20): loss = 0.19, rgb_loss = 0.19, eikonal_loss = 0.07, psnr = 13.06
(sdf)dnerf_bun_2024_12_21_21_58_42 [3] (6/20): loss = 0.21, rgb_loss = 0.2, eikonal_loss = 0.06, psnr = 12.65
(sdf)dnerf_bun_2024_12_21_21_58_42 [3] (7/20): loss = 0.21, rgb_loss = 0.2, eikonal_loss = 0.08, psnr = 12.43
(sdf)dnerf_bun_2024_12_21_21_58_42 [3] (8/20): loss = 0.21, rgb_loss = 0.2, eikonal_loss = 0.08, psnr = 12.17
(sdf)dnerf_bun_2024_12_21_21_58_42 [3] (9/20): loss = 0.2, rgb_loss = 0.19, eikonal_loss = 0.06, psnr = 13.25
(sdf)dnerf_bun_2024_12_21_21_58_42 [3] (10/20): loss = 0.19, rgb_loss = 0.18, eikonal_loss = 0.06, psnr = 13.61
(sdf)dnerf_bun_2024_12_21_21_58_42 [3] (11/20): loss = 0.19, rgb_loss = 0.18, eikonal_loss = 0.06, psnr = 13.65
(sdf)dnerf_bun_2024_12_21_21_58_42 [3] (12/20): loss = 0.18, rgb_loss = 0.17, eikonal_loss = 0.06, psnr = 13.96
(sdf)dnerf_bun_2024_12_21_21_58_42 [3] (13/20): loss = 0.21, rgb_loss = 0.21, eikonal_loss = 0.07, psnr = 12.74
(sdf)dnerf_bun_2024_12_21_21_58_42 [3] (14/20): loss = 0.21, rgb_loss = 0.2, eikonal_loss = 0.06, psnr = 12.35
(sdf)dnerf_bun_2024_12_21_21_58_42 [3] (15/20): loss = 0.2, rgb_loss = 0.2, eikonal_loss = 0.06, psnr = 12.57
(sdf)dnerf_bun_2024_12_21_21_58_42 [3] (16/20): loss = 0.21, rgb_loss = 0.21, eikonal_loss = 0.07, psnr = 12.39
(sdf)dnerf_bun_2024_12_21_21_58_42 [3] (17/20): loss = 0.21, rgb_loss = 0.2, eikonal_loss = 0.06, psnr = 12.46
(sdf)dnerf_bun_2024_12_21_21_58_42 [3] (18/20): loss = 0.22, rgb_loss = 0.21, eikonal_loss = 0.06, psnr = 12.55
(sdf)dnerf_bun_2024_12_21_21_58_42 [3] (19/20): loss = 0.2, rgb_loss = 0.19, eikonal_loss = 0.09, psnr = 12.95
(sdf)dnerf_bun_2024_12_21_21_58_42 [4] (0/20): loss = 0.21, rgb_loss = 0.21, eikonal_loss = 0.05, psnr = 12.76
(sdf)dnerf_bun_2024_12_21_21_58_42 [4] (1/20): loss = 0.21, rgb_loss = 0.21, eikonal_loss = 0.05, psnr = 12.51
(sdf)dnerf_bun_2024_12_21_21_58_42 [4] (2/20): loss = 0.2, rgb_loss = 0.19, eikonal_loss = 0.06, psnr = 12.29
(sdf)dnerf_bun_2024_12_21_21_58_42 [4] (3/20): loss = 0.2, rgb_loss = 0.2, eikonal_loss = 0.06, psnr = 12.09
(sdf)dnerf_bun_2024_12_21_21_58_42 [4] (4/20): loss = 0.19, rgb_loss = 0.19, eikonal_loss = 0.05, psnr = 12.84
(sdf)dnerf_bun_2024_12_21_21_58_42 [4] (5/20): loss = 0.19, rgb_loss = 0.19, eikonal_loss = 0.06, psnr = 12.88
(sdf)dnerf_bun_2024_12_21_21_58_42 [4] (6/20): loss = 0.21, rgb_loss = 0.2, eikonal_loss = 0.05, psnr = 12.7
(sdf)dnerf_bun_2024_12_21_21_58_42 [4] (7/20): loss = 0.2, rgb_loss = 0.19, eikonal_loss = 0.05, psnr = 12.67
(sdf)dnerf_bun_2024_12_21_21_58_42 [4] (8/20): loss = 0.2, rgb_loss = 0.19, eikonal_loss = 0.05, psnr = 13.17
(sdf)dnerf_bun_2024_12_21_21_58_42 [4] (9/20): loss = 0.18, rgb_loss = 0.18, eikonal_loss = 0.05, psnr = 13.89
(sdf)dnerf_bun_2024_12_21_21_58_42 [4] (10/20): loss = 0.2, rgb_loss = 0.2, eikonal_loss = 0.05, psnr = 12.27
(sdf)dnerf_bun_2024_12_21_21_58_42 [4] (11/20): loss = 0.18, rgb_loss = 0.17, eikonal_loss = 0.06, psnr = 13.84
(sdf)dnerf_bun_2024_12_21_21_58_42 [4] (12/20): loss = 0.18, rgb_loss = 0.17, eikonal_loss = 0.05, psnr = 13.78
(sdf)dnerf_bun_2024_12_21_21_58_42 [4] (13/20): loss = 0.18, rgb_loss = 0.17, eikonal_loss = 0.05, psnr = 13.64
(sdf)dnerf_bun_2024_12_21_21_58_42 [4] (14/20): loss = 0.2, rgb_loss = 0.2, eikonal_loss = 0.05, psnr = 12.79
(sdf)dnerf_bun_2024_12_21_21_58_42 [4] (15/20): loss = 0.21, rgb_loss = 0.2, eikonal_loss = 0.04, psnr = 12.6
(sdf)dnerf_bun_2024_12_21_21_58_42 [4] (16/20): loss = 0.21, rgb_loss = 0.2, eikonal_loss = 0.04, psnr = 12.78
(sdf)dnerf_bun_2024_12_21_21_58_42 [4] (17/20): loss = 0.2, rgb_loss = 0.19, eikonal_loss = 0.05, psnr = 13.01
(sdf)dnerf_bun_2024_12_21_21_58_42 [4] (18/20): loss = 0.18, rgb_loss = 0.18, eikonal_loss = 0.05, psnr = 13.58
(sdf)dnerf_bun_2024_12_21_21_58_42 [4] (19/20): loss = 0.21, rgb_loss = 0.2, eikonal_loss = 0.04, psnr = 12.46
(sdf)dnerf_bun_2024_12_21_21_58_42 [5] (0/20): loss = 0.2, rgb_loss = 0.19, eikonal_loss = 0.05, psnr = 12.66
(sdf)dnerf_bun_2024_12_21_21_58_42 [5] (1/20): loss = 0.2, rgb_loss = 0.2, eikonal_loss = 0.04, psnr = 12.82
(sdf)dnerf_bun_2024_12_21_21_58_42 [5] (2/20): loss = 0.19, rgb_loss = 0.19, eikonal_loss = 0.05, psnr = 12.39
(sdf)dnerf_bun_2024_12_21_21_58_42 [5] (3/20): loss = 0.21, rgb_loss = 0.21, eikonal_loss = 0.04, psnr = 12.79
(sdf)dnerf_bun_2024_12_21_21_58_42 [5] (4/20): loss = 0.19, rgb_loss = 0.18, eikonal_loss = 0.05, psnr = 12.71
(sdf)dnerf_bun_2024_12_21_21_58_42 [5] (5/20): loss = 0.19, rgb_loss = 0.18, eikonal_loss = 0.05, psnr = 13.18
(sdf)dnerf_bun_2024_12_21_21_58_42 [5] (6/20): loss = 0.2, rgb_loss = 0.19, eikonal_loss = 0.04, psnr = 12.99
(sdf)dnerf_bun_2024_12_21_21_58_42 [5] (7/20): loss = 0.2, rgb_loss = 0.2, eikonal_loss = 0.03, psnr = 12.79
(sdf)dnerf_bun_2024_12_21_21_58_42 [5] (8/20): loss = 0.19, rgb_loss = 0.19, eikonal_loss = 0.04, psnr = 12.78
(sdf)dnerf_bun_2024_12_21_21_58_42 [5] (9/20): loss = 0.19, rgb_loss = 0.18, eikonal_loss = 0.04, psnr = 12.89
(sdf)dnerf_bun_2024_12_21_21_58_42 [5] (10/20): loss = 0.2, rgb_loss = 0.2, eikonal_loss = 0.04, psnr = 12.57
(sdf)dnerf_bun_2024_12_21_21_58_42 [5] (11/20): loss = 0.17, rgb_loss = 0.17, eikonal_loss = 0.04, psnr = 13.87
(sdf)dnerf_bun_2024_12_21_21_58_42 [5] (12/20): loss = 0.17, rgb_loss = 0.17, eikonal_loss = 0.04, psnr = 13.9
(sdf)dnerf_bun_2024_12_21_21_58_42 [5] (13/20): loss = 0.19, rgb_loss = 0.19, eikonal_loss = 0.04, psnr = 12.5
(sdf)dnerf_bun_2024_12_21_21_58_42 [5] (14/20): loss = 0.2, rgb_loss = 0.2, eikonal_loss = 0.03, psnr = 13.12
(sdf)dnerf_bun_2024_12_21_21_58_42 [5] (15/20): loss = 0.17, rgb_loss = 0.17, eikonal_loss = 0.05, psnr = 13.75
(sdf)dnerf_bun_2024_12_21_21_58_42 [5] (16/20): loss = 0.17, rgb_loss = 0.16, eikonal_loss = 0.05, psnr = 13.9
